#@seed 2355
#@graphSize 30
#@graphDepth 10
#@sdComp 0.3
#@sdComm 3.0
#@CCR 10
#@nbproc 6
#@minmk 30.0896

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
0;0;0;2;1;0;0;1.0;8.51
0;5;0;2;1;0;0;1.0;9.67
6;5;0;2;1;1;0;1.0;9.72
0;2;0;2;1;0;0;1.0;9.85
6;5;0;2;1;0;0;1.0;10.22
6;1;0;2;1;1;0;1.0;10.3
0;3;0;2;1;0;0;1.0;10.33
6;1;0;2;1;0;1;1.0;10.35
0;3;0;2;1;1;0;1.0;10.52
0;3;0;2;1;0;1;1.0;10.79
5;3;0;2;1;0;1;1.0;10.86
5;5;0;2;1;1;0;1.0;10.87
6;2;4;2;1;0;0;1.0;11.08
0;0;0;2;1;1;0;1.0;11.2
0;2;0;2;1;1;0;1.0;11.26
6;0;0;2;1;0;0;1.0;11.39
5;4;0;2;1;0;1;1.0;11.48
5;0;0;2;1;0;0;1.0;11.5
6;3;4;2;1;1;0;1.0;11.5
6;0;4;2;1;0;0;1.0;11.73
5;1;4;2;1;1;1;1.0;11.8
6;5;0;2;1;0;1;1.0;11.95
6;3;0;2;1;1;1;1.0;11.98
6;5;0;2;1;1;1;1.0;12.17
6;3;4;2;1;0;1;1.0;12.17
0;2;5;2;0;0;0;1.0;12.2
0;5;5;2;0;0;0;1.0;12.32
0;4;4;2;1;1;0;1.0;12.33
0;5;0;2;1;1;1;1.0;12.41
6;5;5;2;0;0;0;1.0;12.64
5;5;5;2;0;0;0;1.0;12.66
6;3;0;2;1;0;0;1.0;12.7
5;0;0;2;1;1;1;1.0;12.71
6;4;0;2;1;1;1;1.0;12.72
0;2;4;2;1;0;1;1.0;12.8
6;3;5;2;0;1;0;1.0;12.82
6;5;4;2;1;1;0;1.0;12.88
6;0;5;2;0;1;0;1.0;13.01
6;0;0;2;1;0;1;1.0;13.02
0;0;0;2;1;0;1;1.0;13.05
5;3;0;2;1;0;0;1.0;13.06
6;0;5;2;0;0;1;1.0;13.11
5;3;5;2;0;1;0;1.0;13.2
6;3;4;2;1;1;1;1.0;13.31
6;3;5;2;0;0;0;1.0;13.32
0;5;4;2;1;1;0;1.0;13.41
0;5;4;2;1;0;1;1.0;13.42
6;1;4;2;1;0;0;1.0;13.43
6;3;0;2;1;1;0;1.0;13.47
0;0;4;2;1;1;1;1.0;13.58
0;3;0;2;1;1;1;1.0;13.61
5;0;0;2;1;0;1;1.0;13.63
5;5;5;2;0;1;0;1.0;13.7
6;2;4;2;1;0;1;1.0;13.78
5;1;5;2;0;1;0;1.0;13.79
5;0;4;2;1;0;1;1.0;13.92
6;2;4;2;1;1;0;1.0;13.93
0;2;4;2;1;1;0;1.0;14.03
2;0;0;2;0;1;1;1.0;14.04
6;0;5;2;0;1;1;1.0;14.12
6;3;5;2;0;0;1;1.0;14.17
6;3;4;2;1;0;0;1.0;14.23
6;1;5;2;0;1;1;1.0;14.3
5;1;0;2;1;0;1;1.0;14.35
0;1;5;2;0;0;0;1.0;14.39
5;1;0;2;1;1;0;1.0;14.41
5;0;4;2;1;0;0;1.0;14.44
0;5;5;2;0;0;1;1.0;14.51
5;2;0;2;1;1;0;1.0;14.56
6;4;4;2;1;1;0;1.0;14.66
5;3;0;2;1;1;0;1.0;14.68
5;4;5;2;0;0;1;1.0;14.69
0;1;4;2;1;0;0;1.0;14.77
6;5;4;2;1;1;1;1.0;14.78
5;1;0;2;1;0;0;1.0;14.91
6;1;0;2;1;0;0;1.0;14.91
6;4;4;2;1;1;1;1.0;14.95
5;1;4;2;1;0;0;1.0;14.97
0;4;4;2;1;1;1;1.0;15.03
5;3;5;2;0;1;1;1.0;15.03
5;1;5;2;0;0;1;1.0;15.07
6;2;5;2;0;0;0;1.0;15.09
5;1;4;2;1;1;0;1.0;15.12
5;0;4;2;1;1;1;1.0;15.15
0;3;4;2;1;0;0;1.0;15.19
5;0;4;2;1;1;0;1.0;15.19
5;3;4;2;1;1;1;1.0;15.2
5;4;4;2;1;0;1;1.0;15.21
0;5;4;2;1;0;0;1.0;15.38
0;0;0;2;1;1;1;1.0;15.39
0;5;0;2;1;1;0;1.0;15.53
0;5;5;2;0;1;0;1.0;15.62
5;2;4;2;1;1;0;1.0;15.63
6;0;5;2;0;0;0;1.0;15.63
5;0;0;2;1;1;0;1.0;15.67
0;3;5;2;0;1;0;1.0;15.69
6;4;0;2;1;1;0;1.0;15.73
0;4;0;2;1;0;0;1.0;15.75
0;2;5;2;0;0;1;1.0;15.75
0;1;0;2;1;0;0;1.0;15.81
5;3;4;2;1;1;0;1.0;15.86
0;0;4;2;1;1;0;1.0;15.87
0;4;0;2;1;1;0;1.0;16.09
0;2;4;2;1;1;1;1.0;16.14
5;4;5;2;0;1;1;1.0;16.17
0;1;0;2;1;1;0;1.0;16.33
0;2;0;2;1;0;1;1.0;16.41
0;5;4;2;1;1;1;1.0;16.41
5;5;0;2;1;1;1;1.0;16.47
2;0;0;2;0;0;0;1.0;16.52
5;2;0;2;1;0;1;1.0;16.54
6;5;5;2;0;0;1;1.0;16.56
6;0;4;2;1;1;0;1.0;16.63
0;2;0;2;1;1;1;1.0;16.67
5;4;0;2;1;1;0;1.0;16.67
5;4;0;2;1;0;0;1.0;16.7
5;5;0;2;1;0;1;1.0;16.78
6;4;0;2;1;0;1;1.0;16.81
6;2;4;2;1;1;1;1.0;16.86
6;2;0;2;1;0;0;1.0;16.93
0;2;5;2;0;1;1;1.0;16.94
5;2;0;2;1;0;0;1.0;16.99
6;2;0;2;1;1;0;1.0;16.99
5;4;0;2;1;1;1;1.0;17.1
0;1;5;2;0;1;1;1.0;17.11
