#@seed 1180
#@graphSize 50
#@graphDepth 17
#@sdComp 1
#@sdComm 1.0
#@CCR 1
#@nbproc 3
#@minmk 25.1876

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
2;0;1;1;0;1;0;1.0;19.12
2;0;1;1;0;1;1;1.0;22.89
2;0;1;1;0;0;1;0.9855;19.63
2;0;1;1;0;0;0;0.9855;22.11
3;1;4;1;0;1;0;0.9661;13.91
3;1;4;1;0;1;1;0.9661;22.14
3;1;5;2;1;1;0;0.9508;16.07
3;1;5;1;1;1;0;0.9508;16.34
3;0;5;1;1;1;0;0.9508;17.19
3;0;5;1;1;1;1;0.9508;18.53
3;0;5;2;1;1;1;0.9508;21.21
3;1;5;2;1;1;1;0.9508;21.88
3;1;5;1;1;1;1;0.9508;27.5
3;0;5;2;1;1;0;0.9508;30.76
3;5;5;2;1;1;0;0.9496;16.96
3;5;5;1;1;1;1;0.9496;17.53
3;2;5;2;1;1;0;0.9496;21.5
3;5;5;1;1;1;0;0.9496;25.18
3;2;5;1;1;1;1;0.9496;29.76
3;2;5;1;1;1;0;0.9496;30.1
3;5;5;2;1;1;1;0.9496;30.75
3;2;5;2;1;1;1;0.9496;31.78
3;2;4;1;0;1;0;0.9488;11.15
3;0;4;1;0;1;0;0.9488;12.02
3;0;4;1;0;1;1;0.9488;12.88
3;2;4;1;0;1;1;0.9488;19.86
3;5;4;1;0;1;0;0.9488;20.97
3;5;4;1;0;1;1;0.9488;22.3
1;3;5;1;1;0;0;0.9256;14.81
1;4;5;2;1;0;0;0.9256;15.53
1;5;5;2;1;0;0;0.9256;15.74
1;3;5;1;1;0;1;0.9256;16.31
1;2;5;1;1;0;1;0.9256;16.33
1;5;5;1;1;0;1;0.9256;16.34
1;5;5;1;1;0;0;0.9256;16.46
1;3;5;2;1;0;0;0.9256;17.4
1;3;5;2;1;0;1;0.9256;18.12
1;0;5;1;1;0;1;0.9256;18.79
1;2;5;2;1;0;0;0.9256;21.42
1;4;5;1;1;0;0;0.9256;24.2
1;0;5;2;1;0;0;0.9256;25.15
1;2;5;1;1;0;0;0.9256;25.66
1;5;5;2;1;0;1;0.9256;25.83
1;0;5;1;1;0;0;0.9256;27.15
1;2;5;2;1;0;1;0.9256;27.61
1;4;5;1;1;0;1;0.9256;27.89
1;4;5;2;1;0;1;0.9256;29.34
1;0;5;2;1;0;1;0.9256;33.47
3;3;5;2;1;1;0;0.9211;17.17
3;4;5;1;1;1;0;0.9211;18.02
3;3;5;2;1;1;1;0.9211;19.04
3;3;5;1;1;1;1;0.9211;22.6
3;3;5;1;1;1;0;0.9211;22.73
3;4;5;2;1;1;0;0.9211;26.55
3;4;5;2;1;1;1;0.9211;26.65
3;4;5;1;1;1;1;0.9211;32.37
3;4;4;1;0;1;0;0.9107;12.41
3;4;4;1;0;1;1;0.9107;12.99
3;3;4;1;0;1;0;0.9107;21.35
3;3;4;1;0;1;1;0.9107;22.24
3;3;4;2;0;0;0;0.9106;21.66
3;3;4;2;0;0;1;0.9106;24.12
3;4;4;2;0;0;0;0.9106;29.53
3;4;4;2;0;0;1;0.9106;32.52
0;4;5;0;1;0;1;0.9086;32.1
0;3;5;0;1;1;0;0.9086;36.83
0;4;5;0;1;1;0;0.9086;38.41
0;3;5;0;1;1;1;0.9086;39.64
0;3;5;0;1;0;0;0.9086;43.23
0;4;5;0;1;0;0;0.9086;43.33
5;3;5;0;1;1;0;0.9086;43.65
0;4;5;0;1;1;1;0.9086;45.13
5;4;5;0;1;1;0;0.9086;45.46
5;3;5;0;1;1;1;0.9086;46.1
5;3;5;0;1;0;0;0.9086;46.38
5;4;5;0;1;0;0;0.9086;46.71
5;4;5;0;1;1;1;0.9086;47.66
5;3;5;0;1;0;1;0.9086;48.05
5;4;5;0;1;0;1;0.9086;48.23
0;3;5;0;1;0;1;0.9086;50.99
0;5;4;0;1;0;0;0.9071;15.59
0;2;4;0;1;1;1;0.9071;16.94
0;5;4;0;1;0;1;0.9071;17.95
0;5;4;0;1;1;0;0.9071;18.82
0;5;5;0;0;0;0;0.9071;22.71
0;2;5;0;0;0;1;0.9071;25.48
0;2;4;0;1;0;0;0.9071;26.9
0;2;4;0;1;1;0;0.9071;27.39
0;2;5;0;0;1;1;0.9071;29.36
0;5;4;0;1;1;1;0.9071;29.48
0;2;4;0;1;0;1;0.9071;29.75
0;2;5;0;0;1;0;0.9071;30.56
0;5;5;0;0;1;1;0.9071;32.06
0;2;5;0;0;0;0;0.9071;32.59
0;5;5;0;0;1;0;0.9071;34.28
0;5;5;0;0;0;1;0.9071;34.61
0;4;4;0;0;1;1;0.9049;20.07
0;1;4;0;0;1;1;0.9049;20.58
0;3;4;0;0;1;0;0.9049;20.77
0;4;4;0;0;1;0;0.9049;21.17
6;1;4;0;0;1;1;0.9049;21.69
0;1;4;0;0;1;0;0.9049;21.7
0;3;4;0;0;0;1;0.9049;22.67
6;3;5;0;1;1;0;0.9049;24.08
0;3;4;0;0;1;1;0.9049;26.31
6;4;5;0;1;1;1;0.9049;27.09
6;1;4;0;0;1;0;0.9049;27.61
6;4;5;0;1;1;0;0.9049;28.34
6;1;5;0;1;1;0;0.9049;28.5
0;4;4;0;0;0;0;0.9049;32.59
0;3;4;0;0;0;0;0.9049;33.06
0;4;4;0;0;0;1;0.9049;36.15
6;3;5;0;1;1;1;0.9049;41.46
6;1;5;0;1;1;1;0.9049;42.04
0;1;5;0;1;1;1;0.9049;44.96
0;1;5;0;1;1;0;0.9049;45.12
0;0;5;0;1;0;0;0.9037;39.0
6;0;5;0;1;0;0;0.9037;39.42
0;0;5;0;1;0;1;0.9037;40.0
6;0;5;0;1;0;1;0.9037;40.02
5;3;4;0;0;1;0;0.9029;22.07
5;4;4;0;0;0;0;0.9029;23.89
5;3;4;0;0;0;1;0.9029;25.37
5;3;4;0;0;0;0;0.9029;29.18
5;3;4;0;0;1;1;0.9029;29.58
5;4;4;0;0;0;1;0.9029;29.82
5;4;4;0;0;1;0;0.9029;31.17
5;4;4;0;0;1;1;0.9029;36.7
6;2;5;0;0;0;0;0.8987;20.03
6;2;4;0;1;1;1;0.8987;24.26
6;2;5;0;0;0;1;0.8987;24.45
6;5;5;0;0;0;1;0.8987;25.58
6;5;5;0;0;1;0;0.8987;25.76
6;5;5;0;0;0;0;0.8987;25.91
6;5;5;0;0;1;1;0.8987;26.92
6;5;4;0;1;0;0;0.8987;29.82
6;5;4;0;1;1;0;0.8987;30.44
6;2;4;0;1;1;0;0.8987;31.54
6;2;4;0;1;0;0;0.8987;31.67
6;2;4;0;1;0;1;0.8987;33.44
6;5;4;0;1;1;1;0.8987;33.66
6;5;4;0;1;0;1;0.8987;34.01
6;2;5;0;0;1;0;0.8987;36.5
6;2;5;0;0;1;1;0.8987;38.59
5;2;4;0;1;0;1;0.8986;18.14
5;5;4;0;1;1;1;0.8986;18.53
5;5;4;0;1;1;0;0.8986;19.35
5;2;5;0;0;1;0;0.8986;19.69
5;2;5;0;0;0;0;0.8986;20.14
5;2;5;0;0;0;1;0.8986;21.17
5;2;4;0;1;1;0;0.8986;26.56
5;2;5;0;0;1;1;0.8986;27.26
5;2;4;0;1;0;0;0.8986;28.16
5;5;4;0;1;0;0;0.8986;30.02
5;5;4;0;1;0;1;0.8986;33.18
5;2;4;0;1;1;1;0.8986;34.7
5;5;5;0;0;0;0;0.8986;35.44
5;5;5;0;0;1;0;0.8986;35.88
5;5;5;0;0;1;1;0.8986;37.5
5;5;5;0;0;0;1;0.8986;38.05
6;3;5;0;1;0;0;0.898;22.87
6;3;5;0;1;0;1;0.898;36.02
6;4;5;0;1;0;0;0.898;39.6
6;4;5;0;1;0;1;0.898;43.08
5;1;4;0;0;1;0;0.8965;27.86
6;2;5;0;1;1;0;0.8965;29.29
6;0;4;0;0;1;0;0.8965;31.64
6;0;4;0;0;1;1;0.8965;32.53
6;0;5;0;1;1;1;0.8965;32.68
5;1;4;0;0;1;1;0.8965;34.38
6;0;5;0;1;1;0;0.8965;34.67
6;2;5;0;1;1;1;0.8965;34.71
0;0;5;0;1;1;1;0.8965;42.44
6;5;5;0;1;1;0;0.8965;42.47
0;0;5;0;1;1;0;0.8965;44.67
6;5;5;0;1;1;1;0.8965;45.82
3;5;4;0;1;0;0;0.8946;20.38
3;2;4;0;1;0;1;0.8946;21.07
3;2;4;0;1;0;0;0.8946;22.27
3;5;4;0;1;0;1;0.8946;22.73
3;5;4;0;1;1;0;0.8946;25.7
3;2;4;0;1;1;1;0.8946;25.94
3;5;5;0;0;0;1;0.8946;28.05
3;5;4;0;1;1;1;0.8946;28.62
3;5;5;0;0;1;0;0.8946;29.37
3;5;5;0;0;1;1;0.8946;29.97
3;2;4;0;1;1;0;0.8946;31.73
3;2;5;0;0;1;0;0.8946;31.92
3;5;5;0;0;0;0;0.8946;34.12
3;2;5;0;0;0;1;0.8946;35.26
3;2;5;0;0;0;0;0.8946;35.92
5;0;5;0;1;1;0;0.8946;40.37
3;2;5;0;0;1;1;0.8946;40.58
5;0;5;0;1;1;1;0.8946;48.73
6;1;5;0;1;0;1;0.8942;30.77
6;1;5;0;1;0;0;0.8942;49.53
1;2;4;2;0;1;0;0.8924;20.33
1;2;4;2;0;1;1;0.8924;25.21
1;5;4;2;0;1;0;0.8924;34.12
1;5;4;2;0;1;1;0.8924;35.51
5;0;5;0;1;0;0;0.8922;32.47
5;0;5;0;1;0;1;0.8922;40.1
0;1;4;0;0;0;0;0.892;18.59
5;1;4;0;0;0;0;0.892;33.5
0;1;4;0;0;0;1;0.892;35.04
5;1;4;0;0;0;1;0.892;35.32
0;0;4;0;0;0;0;0.8918;18.17
0;0;4;0;0;0;1;0.8918;29.03
5;1;5;0;1;0;0;0.8918;38.22
5;1;5;0;1;0;1;0.8918;39.1
0;0;5;0;0;0;1;0.891;22.22
0;0;5;0;0;0;0;0.891;25.37
0;0;4;0;1;0;1;0.891;25.82
0;0;4;0;1;0;0;0.891;26.06
0;0;4;0;1;1;0;0.891;27.28
0;0;5;0;0;1;0;0.891;29.37
0;0;4;0;1;1;1;0.891;32.02
0;0;5;0;0;1;1;0.891;33.89
6;1;4;1;0;0;0;0.8906;23.63
6;1;4;1;0;0;1;0.8906;26.26
6;4;4;0;0;1;1;0.8877;20.94
6;4;4;0;0;1;0;0.8877;22.28
6;3;4;0;0;1;0;0.8877;30.74
6;3;4;0;0;1;1;0.8877;36.33
4;4;5;0;1;0;0;0.8859;24.87
4;3;5;0;1;0;1;0.8859;38.4
4;4;5;0;1;0;1;0.8859;38.47
4;3;5;0;1;0;0;0.8859;38.66
0;0;4;0;0;1;0;0.8848;23.32
5;0;4;0;0;1;0;0.8848;31.64
0;0;4;0;0;1;1;0.8848;32.18
