#@seed 183
#@graphSize 30
#@graphDepth 10
#@sdComp 0.3
#@sdComm 0.03
#@CCR 0.1
#@nbproc 6
#@minmk 8.6539

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
1;3;4;0;0;1;0;1.0;10.9
1;5;4;0;0;1;0;1.0;11.48
1;5;4;0;0;1;1;1.0;11.71
1;0;4;0;0;1;1;1.0;12.82
1;3;4;0;0;1;1;1.0;14.33
1;4;4;0;0;1;1;1.0;15.2
1;2;4;0;0;1;0;1.0;15.76
1;4;4;0;0;1;0;1.0;16.3
1;5;5;0;1;1;0;1.0;17.1
1;0;5;0;1;1;1;1.0;18.11
1;2;4;0;0;1;1;1.0;18.31
1;0;4;0;0;1;0;1.0;18.52
1;2;5;0;1;1;0;1.0;19.09
1;4;5;0;1;1;0;1.0;19.58
1;1;4;0;0;1;0;1.0;20.7
1;1;4;0;0;1;1;1.0;20.76
1;1;5;0;1;1;1;1.0;20.78
3;5;5;0;1;1;0;1.0;21.58
1;4;5;0;1;1;1;1.0;22.18
1;3;5;0;1;1;1;1.0;22.88
1;5;5;0;1;1;1;1.0;22.89
1;1;5;0;1;1;0;1.0;24.82
1;3;5;0;1;1;0;1.0;25.9
3;2;5;0;1;1;0;1.0;27.84
1;2;5;0;1;1;1;1.0;28.13
1;0;5;0;1;1;0;1.0;28.92
3;5;5;0;1;1;1;1.0;29.53
3;2;5;0;1;1;1;1.0;31.03
0;2;4;0;1;1;1;0.9988;10.61
0;5;5;0;0;1;0;0.9988;11.63
0;2;4;0;1;1;0;0.9988;11.78
5;2;4;0;1;1;0;0.9988;11.81
5;2;5;0;0;1;0;0.9988;12.3
5;2;5;0;0;1;1;0.9988;13.12
0;5;5;0;0;1;1;0.9988;13.16
5;5;4;0;1;1;0;0.9988;15.58
5;2;4;0;1;1;1;0.9988;16.19
0;5;4;0;1;1;1;0.9988;17.69
0;5;4;0;1;1;0;0.9988;17.93
0;2;5;0;0;1;1;0.9988;18.74
5;5;4;0;1;1;1;0.9988;18.94
5;5;5;0;0;1;0;0.9988;19.94
0;2;5;0;0;1;0;0.9988;20.46
5;5;5;0;0;1;1;0.9988;22.94
1;1;0;1;0;0;0;0.9925;2.58
1;1;0;1;0;0;1;0.9925;2.82
1;1;0;1;0;1;0;0.9925;3.69
1;4;0;1;0;0;0;0.9925;4.67
1;2;0;1;0;0;0;0.9925;4.71
1;0;0;1;0;0;0;0.9925;4.72
1;3;0;1;0;0;0;0.9925;4.72
1;5;0;1;0;0;0;0.9925;4.78
1;0;0;1;0;1;0;0.9925;4.86
1;2;0;1;0;1;0;0.9925;4.86
1;4;0;1;0;1;0;0.9925;4.87
1;5;0;1;0;1;0;0.9925;4.9
1;2;0;1;0;1;1;0.9925;4.95
1;3;0;1;0;1;0;0.9925;5.01
1;1;0;1;0;1;1;0.9925;5.28
1;4;0;1;0;0;1;0.9925;5.31
1;0;0;1;0;0;1;0.9925;5.32
1;2;0;1;0;0;1;0.9925;5.33
1;5;0;1;0;0;1;0.9925;5.36
1;3;0;1;0;0;1;0.9925;5.38
1;0;0;1;0;1;1;0.9925;5.49
1;3;0;1;0;1;1;0.9925;5.6
1;5;0;1;0;1;1;0.9925;5.62
1;2;4;1;0;0;1;0.9925;5.65
1;4;4;1;0;0;1;0.9925;5.73
1;2;4;1;0;0;0;0.9925;5.74
1;1;4;1;0;0;0;0.9925;5.75
1;1;4;1;0;1;1;0.9925;5.77
1;4;4;1;0;1;0;0.9925;5.97
1;1;4;1;0;0;1;0.9925;6.05
1;1;4;1;0;1;0;0.9925;6.08
1;4;4;1;0;0;0;0.9925;6.19
1;4;0;1;0;1;1;0.9925;6.21
1;4;4;1;0;1;1;0.9925;6.68
1;5;4;1;0;0;0;0.9925;8.42
1;0;4;1;0;0;1;0.9925;8.59
1;3;4;1;0;1;1;0.9925;8.63
1;1;5;1;1;0;0;0.9925;9.52
1;3;4;1;0;1;0;0.9925;9.6
1;0;4;1;0;1;0;0.9925;9.86
1;1;5;2;1;0;1;0.9925;9.95
1;0;4;1;0;0;0;0.9925;10.02
1;5;5;1;1;0;1;0.9925;10.15
1;3;4;1;0;0;0;0.9925;10.2
1;2;5;2;1;1;0;0.9925;10.57
1;5;4;1;0;0;1;0.9925;10.58
1;4;5;2;1;1;1;0.9925;10.58
1;2;4;1;0;1;0;0.9925;10.69
1;5;4;1;0;1;0;0.9925;10.77
1;4;5;2;1;1;0;0.9925;10.83
1;5;5;1;1;0;0;0.9925;10.9
1;3;4;1;0;0;1;0.9925;10.92
1;0;5;1;1;0;1;0.9925;10.99
1;0;4;1;0;1;1;0.9925;11.01
1;4;5;1;1;1;0;0.9925;11.02
1;2;4;1;0;1;1;0.9925;11.08
1;2;5;2;1;0;1;0.9925;11.08
3;2;5;2;1;1;1;0.9925;11.12
1;3;5;1;1;0;1;0.9925;11.14
1;5;4;1;0;1;1;0.9925;11.32
1;4;5;1;1;0;0;0.9925;11.45
1;1;5;1;1;1;0;0.9925;11.66
1;5;5;2;1;1;1;0.9925;11.66
1;4;5;2;1;0;1;0.9925;12.04
3;5;5;1;1;1;1;0.9925;12.37
3;2;5;2;1;1;0;0.9925;12.54
1;5;5;2;1;0;0;0.9925;12.67
1;4;5;1;1;0;1;0.9925;12.7
3;5;5;2;1;0;1;0.9925;13.45
1;0;5;2;1;1;0;0.9925;13.51
1;0;5;2;1;0;1;0.9925;13.64
1;1;5;2;1;1;1;0.9925;13.66
1;2;5;2;1;1;1;0.9925;13.67
3;5;5;1;1;1;0;0.9925;13.86
1;1;5;2;1;0;0;0.9925;14.28
1;0;5;1;1;1;1;0.9925;14.59
1;3;5;2;1;0;0;0.9925;14.59
3;5;5;1;1;0;1;0.9925;14.75
1;2;5;1;1;0;1;0.9925;14.87
1;0;5;1;1;1;0;0.9925;14.95
1;0;5;1;1;0;0;0.9925;16.16
1;5;5;1;1;1;0;0.9925;16.18
1;1;5;2;1;1;0;0.9925;16.21
3;5;5;2;1;0;0;0.9925;16.39
1;2;5;2;1;0;0;0.9925;16.69
1;3;5;1;1;0;0;0.9925;17.02
3;5;5;2;1;1;0;0.9925;17.03
1;5;5;2;1;0;1;0.9925;17.06
3;2;5;2;1;0;1;0.9925;17.26
1;3;5;2;1;1;0;0.9925;17.38
3;5;5;2;1;1;1;0.9925;17.49
3;2;5;2;1;0;0;0.9925;17.64
1;1;5;1;1;0;1;0.9925;17.69
1;0;5;2;1;0;0;0.9925;17.89
1;3;5;2;1;1;1;0.9925;18.21
1;2;5;1;1;1;0;0.9925;18.26
3;2;5;1;1;0;0;0.9925;18.34
1;5;5;2;1;1;0;0.9925;18.41
1;2;5;1;1;0;0;0.9925;18.43
1;4;5;2;1;0;0;0.9925;18.43
3;5;5;1;1;0;0;0.9925;18.45
1;4;5;1;1;1;1;0.9925;18.7
1;3;5;2;1;0;1;0.9925;18.71
3;2;5;1;1;0;1;0.9925;18.75
1;3;5;1;1;1;0;0.9925;18.76
1;2;5;1;1;1;1;0.9925;18.8
3;2;5;1;1;1;0;0.9925;19.0
1;5;5;1;1;1;1;0.9925;19.01
1;3;5;1;1;1;1;0.9925;19.02
1;0;5;2;1;1;1;0.9925;19.09
1;1;5;1;1;1;1;0.9925;19.2
3;2;5;1;1;1;1;0.9925;19.44
6;4;5;0;1;0;1;0.9923;20.61
5;3;5;0;1;0;0;0.9923;21.48
4;1;5;0;1;0;0;0.9923;22.51
4;1;5;0;1;1;1;0.9923;23.24
0;0;5;0;1;0;1;0.9923;23.54
0;3;5;0;1;1;1;0.9923;23.92
6;3;5;0;1;1;1;0.9923;24.31
5;4;5;0;1;0;0;0.9923;24.39
0;4;5;0;1;1;1;0.9923;24.46
6;4;5;0;1;1;0;0.9923;24.73
6;4;5;0;1;1;1;0.9923;25.51
0;4;5;0;1;0;0;0.9923;26.01
4;1;5;0;1;1;0;0.9923;26.33
6;3;5;0;1;0;0;0.9923;26.39
0;4;5;0;1;0;1;0.9923;26.63
5;3;5;0;1;1;1;0.9923;27.33
5;0;5;0;1;0;0;0.9923;29.09
0;0;5;0;1;1;1;0.9923;30.29
0;3;5;0;1;0;0;0.9923;30.31
6;0;5;0;1;0;0;0.9923;30.57
6;4;5;0;1;0;0;0.9923;31.07
6;3;5;0;1;0;1;0.9923;31.22
4;1;5;0;1;0;1;0.9923;31.25
0;0;5;0;1;0;0;0.9923;31.33
0;4;5;0;1;1;0;0.9923;31.49
6;3;5;0;1;1;0;0.9923;32.47
5;4;5;0;1;1;1;0.9923;33.02
6;0;5;0;1;1;0;0.9923;33.3
6;0;5;0;1;1;1;0.9923;33.78
0;3;5;0;1;0;1;0.9923;33.83
0;3;5;0;1;1;0;0.9923;34.05
5;0;5;0;1;1;1;0.9923;34.27
0;0;5;0;1;1;0;0.9923;35.18
5;3;5;0;1;1;0;0.9923;35.26
5;4;5;0;1;1;0;0.9923;35.51
5;4;5;0;1;0;1;0.9923;35.57
5;3;5;0;1;0;1;0.9923;35.74
5;0;5;0;1;1;0;0.9923;36.19
6;0;5;0;1;0;1;0.9923;36.42
5;0;5;0;1;0;1;0.9923;37.21
0;2;0;1;1;0;1;0.9913;6.65
0;5;4;1;1;0;0;0.9913;6.85
0;5;4;1;1;1;0;0.9913;7.17
0;2;4;1;1;0;0;0.9913;7.21
5;5;4;1;1;0;1;0.9913;7.69
5;5;0;1;1;0;0;0.9913;7.7
0;2;4;1;1;0;1;0.9913;7.81
5;2;4;1;1;0;1;0.9913;7.87
0;5;4;1;1;0;1;0.9913;8.29
5;2;4;1;1;1;0;0.9913;8.46
0;2;0;1;1;0;0;0.9913;8.55
5;2;0;1;1;1;0;0.9913;9.28
5;5;4;1;1;0;0;0.9913;9.35
0;2;5;1;0;0;1;0.9913;10.01
5;2;4;1;1;1;1;0.9913;10.17
0;2;5;1;0;1;0;0.9913;10.27
2;0;1;1;0;0;1;0.9913;10.54
2;0;1;1;0;0;0;0.9913;10.55
2;0;1;1;0;1;0;0.9913;10.67
0;5;5;1;0;0;0;0.9913;10.84
5;5;5;1;0;1;1;0.9913;11.47
5;5;4;1;1;1;1;0.9913;11.61
0;5;4;1;1;1;1;0.9913;11.66
0;2;0;1;1;1;0;0.9913;11.67
0;2;5;1;0;0;0;0.9913;11.98
5;5;4;1;1;1;0;0.9913;12.06
0;5;0;1;1;1;0;0.9913;12.79
5;2;0;1;1;0;0;0.9913;12.95
5;2;0;1;1;1;1;0.9913;12.96
0;5;0;1;1;1;1;0.9913;13.14
2;0;1;1;0;1;1;0.9913;13.16
0;2;0;1;1;1;1;0.9913;13.26
5;2;0;1;1;0;1;0.9913;13.3
5;5;0;1;1;1;0;0.9913;13.41
5;5;0;1;1;0;1;0.9913;13.6
0;5;0;1;1;0;0;0.9913;13.73
0;2;4;1;1;1;0;0.9913;13.73
0;5;5;1;0;0;1;0.9913;14.16
5;5;0;1;1;1;1;0.9913;14.19
5;2;4;1;1;0;0;0.9913;14.36
0;2;4;1;1;1;1;0.9913;14.64
0;2;5;1;0;1;1;0.9913;14.83
5;5;5;1;0;0;0;0.9913;15.07
0;5;0;1;1;0;1;0.9913;16.73
5;2;5;1;0;1;0;0.9913;16.85
5;2;5;1;0;1;1;0.9913;16.91
5;5;5;1;0;0;1;0.9913;16.98
0;5;5;1;0;1;0;0.9913;17.12
5;2;5;1;0;0;0;0.9913;17.63
0;5;5;1;0;1;1;0.9913;17.83
5;2;5;1;0;0;1;0.9913;18.41
5;5;5;1;0;1;0;0.9913;18.48
2;0;0;1;0;1;0;0.9913;18.7
2;0;0;1;0;0;1;0.9913;19.06
2;0;0;1;0;0;0;0.9913;19.08
2;0;0;1;0;1;1;0.9913;19.19
2;0;0;0;0;1;0;0.9896;12.86
2;0;0;0;0;0;1;0.9896;13.5
2;0;0;0;0;1;1;0.9896;16.17
2;0;0;0;0;0;0;0.9896;20.52
5;5;4;0;1;0;0;0.9871;10.06
0;5;4;0;1;0;0;0.9871;10.45
1;5;4;0;0;0;0;0.9871;10.51
1;0;4;0;0;0;1;0.9871;10.81
1;0;4;0;0;0;0;0.9871;11.11
1;4;4;0;0;0;0;0.9871;11.36
1;5;4;0;0;0;1;0.9871;11.84
0;5;5;0;0;0;1;0.9871;12.66
5;5;5;0;0;0;0;0.9871;12.76
1;3;4;0;0;0;1;0.9871;12.77
1;3;4;0;0;0;0;0.9871;12.89
0;5;5;0;0;0;0;0.9871;12.92
0;5;4;0;1;0;1;0.9871;13.15
5;5;4;0;1;0;1;0.9871;14.05
1;1;5;0;1;0;0;0.9871;15.87
5;2;4;0;1;0;1;0.9871;16.52
5;2;5;0;0;0;1;0.9871;16.82
5;2;4;0;1;0;0;0.9871;16.9
1;0;5;0;1;0;0;0.9871;17.16
1;3;5;0;1;0;0;0.9871;17.38
5;5;5;0;0;0;1;0.9871;17.6
0;2;4;0;1;0;1;0.9871;17.69
1;2;4;0;0;0;0;0.9871;18.06
1;5;5;0;1;0;0;0.9871;19.54
1;2;5;0;1;0;1;0.9871;19.59
1;4;4;0;0;0;1;0.9871;19.69
1;2;4;0;0;0;1;0.9871;19.72
0;2;4;0;1;0;0;0.9871;20.51
0;2;5;0;0;0;0;0.9871;20.74
1;1;4;0;0;0;0;0.9871;20.85
1;1;4;0;0;0;1;0.9871;21.01
1;5;5;0;1;0;1;0.9871;21.51
5;2;5;0;0;0;0;0.9871;21.66
0;2;5;0;0;0;1;0.9871;22.11
1;0;5;0;1;0;1;0.9871;22.26
1;2;5;0;1;0;0;0.9871;23.39
1;4;5;0;1;0;1;0.9871;24.96
1;4;5;0;1;0;0;0.9871;25.74
1;3;5;0;1;0;1;0.9871;26.36
1;1;5;0;1;0;1;0.9871;28.07
3;1;0;1;0;1;0;0.9854;2.87
3;5;0;1;0;0;0;0.9854;3.04
3;1;0;1;0;1;1;0.9854;3.13
3;5;0;1;0;0;1;0.9854;3.15
3;5;0;1;0;1;1;0.9854;3.15
3;5;0;1;0;1;0;0.9854;3.28
3;1;0;1;0;0;0;0.9854;3.52
3;1;0;1;0;0;1;0.9854;4.1
3;2;0;1;0;0;0;0.9854;5.28
3;0;0;1;0;0;0;0.9854;5.34
3;0;0;1;0;1;0;0.9854;5.41
3;2;0;1;0;1;0;0.9854;5.52
3;2;0;1;0;0;1;0.9854;5.9
3;0;0;1;0;0;1;0.9854;5.99
3;0;0;1;0;1;1;0.9854;6.05
3;2;0;1;0;1;1;0.9854;6.1
0;0;0;1;1;0;0;0.9854;6.84
0;0;4;1;1;0;0;0.9854;7.12
5;0;0;1;1;1;1;0.9854;7.47
5;0;0;1;1;1;0;0.9854;7.54
0;0;0;1;1;0;1;0.9854;7.71
3;2;0;1;1;1;0;0.9854;7.84
5;1;4;1;1;0;1;0.9854;7.85
5;0;0;1;1;0;1;0.9854;7.94
3;5;4;1;1;0;0;0.9854;8.02
5;1;0;1;1;0;0;0.9854;8.02
0;1;0;1;1;0;0;0.9854;8.1
0;0;4;1;1;1;0;0.9854;8.1
5;0;4;1;1;1;1;0.9854;8.13
5;1;4;1;1;1;0;0.9854;8.39
3;5;4;1;1;0;1;0.9854;8.76
3;2;0;1;1;0;1;0.9854;8.86
