#@seed 1796
#@graphSize 15
#@graphDepth 5
#@sdComp 0.1
#@sdComm 3.0
#@CCR 10
#@nbproc 3
#@minmk 13.5155

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
2;0;1;2;0;1;0;1.0;1.46
2;0;1;2;0;1;1;1.0;2.62
1;4;1;2;0;1;0;0.968;0.91
1;2;1;2;0;1;0;0.968;0.92
1;4;2;2;1;1;1;0.968;0.95
1;0;1;2;0;1;0;0.968;0.97
1;1;1;2;0;1;0;0.968;0.98
1;5;2;2;0;1;0;0.968;0.98
1;5;2;2;1;1;0;0.968;1.01
1;4;1;2;0;1;1;0.968;1.06
1;2;1;2;0;1;1;0.968;1.13
1;0;1;2;0;1;1;0.968;1.14
2;0;2;2;1;1;0;0.968;1.22
1;4;2;2;1;1;0;0.968;1.25
1;5;2;2;0;1;1;0.968;1.25
1;5;2;2;1;1;1;0.968;1.33
1;4;2;2;0;1;0;0.968;1.5
1;0;2;2;0;1;0;0.968;1.53
1;2;2;2;1;1;0;0.968;1.53
1;3;2;2;0;1;0;0.968;1.53
1;3;2;2;1;1;0;0.968;1.53
2;0;2;2;1;1;1;0.968;1.53
1;1;2;2;1;1;0;0.968;1.54
1;2;2;2;0;1;0;0.968;1.54
1;0;2;2;1;1;0;0.968;1.56
1;1;2;2;0;1;0;0.968;1.56
1;5;1;2;0;1;1;0.968;1.69
1;0;2;2;0;1;1;0.968;1.71
1;3;1;2;0;1;0;0.968;1.78
1;5;1;2;0;1;0;0.968;1.8
1;2;2;2;1;1;1;0.968;1.84
1;2;2;2;0;1;1;0.968;1.85
1;1;2;2;1;1;1;0.968;1.86
1;3;2;2;0;1;1;0.968;1.86
1;3;2;2;1;1;1;0.968;1.86
1;0;2;2;1;1;1;0.968;1.89
1;4;2;2;0;1;1;0.968;1.91
1;1;2;2;0;1;1;0.968;1.94
1;3;1;2;0;1;1;0.968;2.1
1;1;1;2;0;1;1;0.968;2.11
2;0;2;2;0;1;0;0.968;3.01
2;0;2;2;0;1;1;0.968;3.68
1;1;1;2;0;0;0;0.9095;0.91
1;4;1;2;0;0;0;0.9095;0.91
1;5;2;2;0;0;0;0.9095;0.91
1;2;1;2;0;0;0;0.9095;0.92
1;0;1;2;0;0;0;0.9095;0.95
1;2;1;2;0;0;1;0.9095;1.07
1;4;1;2;0;0;1;0.9095;1.08
1;1;1;2;0;0;1;0.9095;1.13
1;5;2;2;0;0;1;0.9095;1.13
1;5;2;2;1;0;0;0.9095;1.2
1;5;1;2;0;0;0;0.9095;1.34
1;1;2;2;0;0;0;0.9095;1.42
1;0;1;2;0;0;1;0.9095;1.43
1;4;2;2;0;0;0;0.9095;1.45
1;3;2;2;1;0;0;0.9095;1.46
1;0;2;2;0;0;0;0.9095;1.47
1;2;2;2;0;0;0;0.9095;1.47
1;4;2;2;1;0;0;0.9095;1.49
1;1;2;2;1;0;0;0.9095;1.51
1;5;2;2;1;0;1;0.9095;1.54
1;4;2;2;1;0;1;0.9095;1.56
1;2;2;2;1;0;0;0.9095;1.58
1;3;2;2;0;0;0;0.9095;1.63
1;3;1;2;0;0;0;0.9095;1.73
1;4;2;2;0;0;1;0.9095;1.75
1;0;2;2;1;0;0;0.9095;1.78
1;0;2;2;0;0;1;0.9095;1.8
1;3;2;2;0;0;1;0.9095;1.8
1;3;2;2;1;0;1;0.9095;1.8
1;1;2;2;1;0;1;0.9095;1.82
1;1;2;2;0;0;1;0.9095;1.84
1;2;2;2;0;0;1;0.9095;1.84
1;0;2;2;1;0;1;0.9095;1.89
1;2;2;2;1;0;1;0.9095;1.89
1;5;1;2;0;0;1;0.9095;2.07
1;3;1;2;0;0;1;0.9095;2.31
2;0;1;1;1;1;0;0.6712;3.29
2;0;1;1;1;1;1;0.6712;4.26
2;0;1;0;1;1;1;0.6692;2.94
2;0;1;0;1;1;0;0.6692;3.88
2;0;1;1;1;0;0;0.6506;2.16
2;0;1;1;1;0;1;0.6506;3.52
2;0;1;0;1;0;1;0.6486;4.1
2;0;1;0;1;0;0;0.6486;5.02
2;0;0;0;0;1;0;0.6479;2.59
2;0;0;0;0;1;1;0.6479;2.89
4;0;1;2;0;1;0;0.6351;1.14
4;1;1;2;0;1;0;0.6351;1.14
4;1;1;2;0;1;1;0.6351;1.28
4;2;1;2;0;1;1;0.6351;1.28
4;0;1;2;0;1;1;0.6351;1.29
4;2;1;2;0;1;0;0.6351;1.36
4;4;1;2;0;1;1;0.6351;1.55
4;3;1;2;1;1;0;0.6351;1.86
4;4;1;2;0;1;0;0.6351;1.88
4;5;1;2;1;1;0;0.6351;1.88
4;1;1;2;1;1;0;0.6351;1.93
4;2;1;2;1;1;1;0.6351;2.02
4;5;1;2;1;1;1;0.6351;2.04
4;1;1;2;1;1;1;0.6351;2.07
4;3;1;2;1;1;1;0.6351;2.08
4;5;1;2;0;1;0;0.6351;2.14
4;3;1;2;0;1;0;0.6351;2.25
4;3;1;2;0;1;1;0.6351;2.46
4;5;1;2;0;1;1;0.6351;2.47
4;2;1;2;1;1;0;0.6351;3.25
4;0;1;2;1;1;1;0.6351;3.45
4;0;1;2;1;1;0;0.6351;3.64
4;4;1;2;1;1;0;0.6351;3.79
4;4;1;2;1;1;1;0.6351;3.93
3;2;0;2;1;1;0;0.6341;1.62
