#@seed 4142
#@graphSize 50
#@graphDepth 8
#@sdComp 1
#@sdComm 0.03
#@CCR 0.1
#@nbproc 3
#@minmk 7.2625

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
2;0;1;1;0;1;0;1.0;15.2
2;0;1;1;0;1;1;1.0;24.45
2;0;0;1;0;0;0;0.9827;10.36
2;0;0;1;0;1;0;0.9827;11.61
2;0;0;1;0;1;1;0.9827;12.34
2;0;1;0;0;0;0;0.9827;13.35
2;0;0;0;0;0;0;0.9827;13.47
2;0;0;0;0;1;0;0.9827;14.15
2;0;0;0;0;1;1;0.9827;14.78
2;0;1;1;0;0;1;0.9827;18.8
2;0;1;0;0;0;1;0.9827;18.83
2;0;0;1;0;0;1;0.9827;20.23
2;0;1;1;0;0;0;0.9827;20.93
2;0;0;0;0;0;1;0.9827;21.38
2;0;1;0;0;1;0;0.9827;27.49
2;0;1;0;0;1;1;0.9827;28.14
3;1;0;1;0;1;0;0.9496;6.97
3;1;0;1;0;1;1;0.9496;7.57
3;1;0;0;0;1;0;0.9496;14.04
3;1;0;0;0;1;1;0.9496;14.14
3;1;4;1;1;1;0;0.9496;27.39
3;1;0;1;1;1;0;0.9496;30.09
3;1;0;0;1;1;0;0.9496;31.3
3;1;0;1;1;1;1;0.9496;32.7
3;1;4;1;1;1;1;0.9496;33.48
3;1;5;1;0;1;0;0.9496;35.45
3;1;5;1;0;1;1;0.9496;37.19
3;1;0;0;1;1;1;0.9496;38.56
4;4;0;1;0;1;0;0.9483;5.7
4;0;0;1;0;0;0;0.9483;6.75
4;2;0;1;0;0;0;0.9483;6.88
4;3;0;1;0;1;0;0.9483;7.31
4;3;0;1;0;0;1;0.9483;7.96
4;3;0;1;0;0;0;0.9483;8.26
4;5;0;1;0;0;1;0.9483;8.78
4;2;0;1;0;1;1;0.9483;8.84
4;5;0;1;0;0;0;0.9483;9.0
4;4;0;1;0;0;0;0.9483;9.25
4;1;0;1;0;1;0;0.9483;9.4
4;4;0;1;0;0;1;0.9483;9.63
4;2;0;1;0;0;1;0.9483;9.7
4;2;0;1;0;1;0;0.9483;9.76
4;5;0;1;0;1;0;0.9483;10.24
4;0;0;1;0;1;0;0.9483;10.28
4;1;0;1;0;0;0;0.9483;10.62
4;5;0;1;0;1;1;0.9483;11.21
4;3;0;1;0;1;1;0.9483;11.78
4;0;0;1;0;0;1;0.9483;12.12
4;1;0;1;0;0;1;0.9483;12.76
