#@seed 2250
#@graphSize 15
#@graphDepth 5
#@sdComp 1
#@sdComm 0.01
#@CCR 0.1
#@nbproc 3
#@minmk 3.9286

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
6;2;5;1;1;1;1;1.0;2.11
3;0;5;2;1;1;0;1.0;2.21
6;0;4;1;0;1;0;1.0;2.34
6;0;4;1;0;1;1;1.0;2.58
3;0;5;2;1;1;1;1.0;2.92
3;0;5;1;1;1;0;1.0;3.0
6;2;5;1;1;1;0;1.0;3.25
3;0;5;1;1;1;1;1.0;3.36
6;5;5;2;1;1;0;1.0;3.44
6;2;5;2;1;1;0;1.0;3.75
6;5;5;1;1;1;0;1.0;3.83
6;5;5;1;1;1;1;1.0;3.97
6;2;5;2;1;1;1;1.0;4.01
6;5;5;2;1;1;1;1.0;4.04
6;0;5;1;1;1;1;1.0;4.17
6;0;5;1;1;1;0;1.0;4.79
6;0;5;2;1;1;1;1.0;5.24
6;0;5;2;1;1;0;1.0;10.48
5;0;0;2;0;0;1;0.9662;2.7
5;0;0;2;0;1;1;0.9662;2.85
4;4;0;1;0;0;0;0.9558;0.64
0;5;0;1;0;0;0;0.9558;0.66
4;4;0;1;0;1;0;0.9558;0.66
5;5;0;1;0;0;0;0.9558;0.67
6;3;0;1;0;0;0;0.9558;0.67
6;4;0;1;0;0;0;0.9558;0.68
6;3;0;1;0;1;0;0.9558;0.69
6;0;0;1;0;1;0;0.9558;0.71
0;0;0;1;0;0;1;0.9558;0.74
0;2;0;1;0;0;0;0.9558;0.78
6;3;0;1;0;0;1;0.9558;0.82
0;1;0;0;0;0;0;0.9558;0.83
0;5;0;1;0;1;0;0.9558;0.84
6;3;0;1;0;1;1;0.9558;0.84
0;0;0;0;0;1;0;0.9558;0.86
0;0;0;0;0;0;0;0.9558;0.89
0;0;0;1;0;1;1;0.9558;0.95
5;3;0;0;0;1;0;0.9558;0.97
0;3;0;1;0;0;0;0.9558;1.0
6;0;0;1;0;1;1;0.9558;1.0
6;2;0;0;0;0;0;0.9558;1.03
0;0;0;1;0;0;0;0.9558;1.04
3;2;0;1;0;0;0;0.9558;1.04
3;1;0;1;0;0;0;0.9558;1.05
5;4;0;0;0;1;0;0.9558;1.06
0;2;0;1;0;1;0;0.9558;1.07
3;1;0;1;0;1;0;0.9558;1.07
0;0;0;0;0;0;1;0.9558;1.08
0;3;0;1;0;1;0;0.9558;1.08
3;2;0;1;0;1;0;0.9558;1.08
3;5;0;1;0;0;0;0.9558;1.08
0;1;0;1;0;1;0;0.9558;1.09
0;4;4;1;0;1;0;0.9558;1.1
6;5;0;0;0;1;0;0.9558;1.1
0;3;4;1;0;1;0;0.9558;1.11
3;5;0;1;0;1;0;0.9558;1.11
5;2;0;0;0;0;0;0.9558;1.11
5;3;0;0;0;0;1;0.9558;1.12
4;3;0;1;0;0;0;0.9558;1.13
5;3;0;0;0;1;1;0.9558;1.13
5;4;0;0;0;0;1;0.9558;1.13
0;4;0;1;0;0;0;0.9558;1.14
6;0;0;1;0;0;1;0.9558;1.14
0;1;0;1;0;0;0;0.9558;1.15
1;5;0;1;1;0;0;0.9558;1.15
6;5;0;0;0;1;1;0.9558;1.15
1;4;0;1;1;0;0;0.9558;1.16
4;0;0;0;0;1;0;0.9558;1.16
4;0;0;0;0;1;1;0.9558;1.16
4;3;0;0;0;1;1;0.9558;1.19
1;3;0;1;1;0;0;0.9558;1.2
6;5;0;0;0;0;1;0.9558;1.2
4;0;0;0;0;0;1;0.9558;1.21
4;2;0;1;0;0;0;0.9558;1.21
6;3;4;1;0;1;0;0.9558;1.21
0;4;4;1;0;1;1;0.9558;1.22
4;0;0;1;0;0;0;0.9558;1.23
4;3;0;1;0;1;0;0.9558;1.23
6;3;0;0;0;1;1;0.9558;1.23
6;3;4;1;0;0;0;0.9558;1.23
6;0;0;1;0;0;0;0.9558;1.24
4;0;0;1;0;1;0;0.9558;1.25
6;4;0;0;0;0;1;0.9558;1.25
5;0;0;1;0;0;0;0.9558;1.26
6;5;0;1;0;0;0;0.9558;1.26
5;0;0;0;0;1;0;0.9558;1.27
6;2;0;1;0;0;0;0.9558;1.27
0;3;0;1;0;0;1;0.9558;1.28
3;1;0;1;0;0;1;0.9558;1.29
1;2;0;1;1;0;1;0.9558;1.3
3;2;0;1;0;0;1;0.9558;1.3
5;0;0;1;0;1;0;0.9558;1.3
5;3;0;1;0;0;0;0.9558;1.3
5;3;0;1;0;1;0;0.9558;1.3
5;4;0;1;0;1;0;0.9558;1.3
4;1;0;1;0;0;0;0.9558;1.31
5;1;0;1;0;1;0;0.9558;1.31
1;1;4;1;1;0;0;0.9558;1.33
6;4;0;1;0;1;0;0.9558;1.33
6;3;4;1;0;0;1;0.9558;1.33
6;2;0;1;0;1;0;0.9558;1.34
3;1;0;1;0;1;1;0.9558;1.35
4;4;0;1;0;0;1;0.9558;1.35
3;5;0;1;0;1;1;0.9558;1.36
0;3;4;1;0;1;1;0.9558;1.37
3;2;0;1;0;1;1;0.9558;1.37
1;2;0;1;1;1;1;0.9558;1.38
1;3;0;1;1;1;1;0.9558;1.38
4;5;0;0;0;0;0;0.9558;1.38
5;5;0;1;0;0;1;0.9558;1.38
4;1;0;1;0;1;0;0.9558;1.39
0;5;0;1;0;0;1;0.9558;1.4
