#@seed 4189
#@graphSize 50
#@graphDepth 17
#@sdComp 0.3
#@sdComm 1.0
#@CCR 10
#@nbproc 6
#@minmk 47.9073

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
1;3;2;1;0;1;0;1.0;8.33
1;4;2;1;1;1;0;1.0;8.8
0;4;2;1;1;1;0;1.0;8.81
6;0;0;1;0;1;0;1.0;8.88
0;5;2;1;0;1;0;1.0;9.11
1;3;1;1;0;1;0;1.0;9.14
1;5;2;1;1;1;0;1.0;9.19
6;1;0;1;0;1;0;1.0;9.2
0;0;2;1;0;1;0;1.0;9.45
1;5;0;1;0;1;0;1.0;9.96
1;1;0;1;0;1;0;1.0;9.97
1;2;2;1;1;1;0;1.0;10.03
1;0;2;1;1;1;0;1.0;10.15
1;3;0;1;0;1;0;1.0;10.38
0;1;2;1;1;1;0;1.0;10.51
1;3;0;1;0;1;1;1.0;10.86
1;2;0;1;0;1;0;1.0;11.4
1;0;0;1;0;1;0;1.0;11.41
1;1;2;1;0;1;0;1.0;11.48
1;3;2;1;1;1;0;1.0;11.5
6;0;2;1;0;1;0;1.0;11.5
1;0;2;1;0;1;0;1.0;11.58
6;3;2;1;0;1;0;1.0;11.62
1;4;2;1;0;1;0;1.0;11.65
0;3;2;1;0;1;0;1.0;11.66
1;1;2;1;1;1;0;1.0;11.69
1;4;0;1;0;1;0;1.0;11.89
0;2;2;1;0;1;0;1.0;11.94
1;5;2;1;0;1;0;1.0;12.04
1;2;2;1;0;1;0;1.0;12.07
1;4;1;1;0;1;0;1.0;12.33
1;1;2;1;0;1;1;1.0;12.52
6;3;1;1;0;1;0;1.0;12.6
1;4;2;1;1;1;1;1.0;12.72
1;3;2;1;0;1;1;1.0;12.86
1;2;2;1;1;1;1;1.0;13.16
0;2;2;1;1;1;0;1.0;13.29
0;0;2;1;1;1;0;1.0;13.55
0;4;2;1;0;1;0;1.0;13.58
0;1;2;1;0;1;0;1.0;13.62
0;5;2;1;1;1;0;1.0;13.72
1;0;2;1;0;1;1;1.0;13.88
1;5;0;1;0;1;1;1.0;13.91
0;3;2;1;1;1;0;1.0;13.92
1;5;1;1;0;1;1;1.0;13.95
0;4;2;1;1;1;1;1.0;14.02
6;3;2;1;1;1;0;1.0;14.07
6;0;2;1;0;1;1;1.0;14.08
6;4;0;1;0;1;0;1.0;14.2
0;1;0;1;0;1;0;1.0;14.22
0;0;0;1;0;1;0;1.0;14.36
6;1;2;1;0;1;0;1.0;14.5
0;4;0;1;0;1;0;1.0;14.61
1;1;1;1;0;1;1;1.0;14.73
6;2;1;1;0;1;0;1.0;14.93
6;2;2;1;0;1;0;1.0;15.05
1;1;2;1;1;1;1;1.0;15.1
1;0;2;1;1;1;1;1.0;15.14
1;2;2;1;0;1;1;1.0;15.16
0;3;2;1;0;1;1;1.0;15.51
1;1;1;1;0;1;0;1.0;15.59
1;4;2;1;0;1;1;1.0;15.6
1;5;2;1;1;1;1;1.0;16.02
1;1;2;2;1;1;0;1.0;16.15
1;0;2;2;0;1;0;1.0;16.17
6;0;2;1;1;1;0;1.0;16.18
6;4;2;1;0;1;0;1.0;16.18
6;4;2;1;1;1;0;1.0;16.22
1;0;1;1;0;1;0;1.0;16.26
6;5;2;1;1;1;0;1.0;16.27
6;2;0;1;0;1;0;1.0;16.45
0;5;2;2;1;1;0;1.0;16.47
1;2;0;1;0;1;1;1.0;16.5
1;5;1;1;0;1;0;1.0;16.5
1;0;0;1;0;1;1;1.0;16.51
1;3;1;1;0;1;1;1.0;16.53
1;4;0;1;0;1;1;1.0;16.6
6;5;0;1;0;1;0;1.0;16.62
1;2;1;1;0;1;0;1.0;16.63
1;5;2;1;0;1;1;1.0;16.72
6;2;2;1;1;1;0;1.0;16.72
6;3;2;1;1;1;1;1.0;16.86
1;1;2;2;0;1;0;1.0;16.95
0;3;0;1;0;1;0;1.0;17.31
1;3;2;1;1;1;1;1.0;17.33
