#@seed 2886
#@graphSize 50
#@graphDepth 17
#@sdComp 0.3
#@sdComm 0.1
#@CCR 1
#@nbproc 3
#@minmk 25.7406

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
6;5;5;1;1;0;0;1.0;21.58
6;2;5;2;1;0;0;1.0;25.42
6;2;5;1;1;0;1;1.0;28.36
6;2;5;2;1;0;1;1.0;29.38
6;5;5;2;1;0;0;1.0;30.59
6;5;5;1;1;0;1;1.0;33.36
6;5;5;2;1;0;1;1.0;34.28
6;2;5;1;1;0;0;1.0;35.11
6;1;5;2;1;0;0;0.9826;33.31
6;1;5;1;1;0;0;0.9826;37.45
6;1;5;2;1;0;1;0.9826;38.99
6;1;5;1;1;0;1;0.9826;39.1
6;3;5;0;1;0;1;0.9782;28.91
6;4;5;0;1;0;0;0.9782;34.33
6;4;5;0;1;0;1;0.9782;39.69
6;0;5;0;1;0;0;0.9782;41.47
6;3;5;0;1;0;0;0.9782;42.69
6;0;5;0;1;0;1;0.9782;49.41
0;1;5;0;1;1;0;0.9748;31.79
5;1;5;0;1;0;0;0.9748;40.45
0;1;5;0;1;0;0;0.9748;40.53
0;1;5;0;1;1;1;0.9748;40.57
5;1;5;0;1;0;1;0.9748;43.12
0;1;5;0;1;0;1;0.9748;43.18
5;1;5;0;1;1;1;0.9748;47.26
5;1;5;0;1;1;0;0.9748;49.68
6;3;4;0;0;1;0;0.9717;19.44
6;4;4;0;0;1;0;0.9717;22.97
6;3;4;0;0;1;1;0.9717;23.39
6;4;4;0;0;1;1;0.9717;33.04
6;4;5;0;1;1;1;0.9717;34.42
6;3;5;0;1;1;0;0.9717;35.1
6;4;5;0;1;1;0;0.9717;37.36
6;0;5;0;1;1;0;0.9717;40.14
6;0;5;0;1;1;1;0.9717;40.34
6;1;5;0;1;1;0;0.9717;40.38
6;3;5;0;1;1;1;0.9717;43.73
6;1;5;0;1;1;1;0.9717;47.53
6;4;4;0;0;0;1;0.9704;24.77
6;3;4;0;0;0;1;0.9704;26.46
6;3;4;0;0;0;0;0.9704;32.03
6;4;4;0;0;0;0;0.9704;32.42
6;5;5;1;1;1;0;0.9665;25.45
6;2;5;2;1;1;1;0.9665;25.69
6;2;5;2;1;1;0;0.9665;25.7
6;2;5;1;1;1;1;0.9665;28.36
6;5;5;2;1;1;0;0.9665;29.44
6;5;5;1;1;1;1;0.9665;30.21
6;2;5;1;1;1;0;0.9665;34.94
6;5;5;2;1;1;1;0.9665;35.94
6;1;4;1;0;0;0;0.965;15.07
6;1;4;1;0;0;1;0.965;22.58
4;4;4;1;0;0;1;0.963;16.51
4;4;4;1;0;0;0;0.963;18.8
4;3;4;1;0;0;0;0.963;19.61
4;3;4;1;0;0;1;0.963;20.56
4;1;4;1;0;1;0;0.955;13.54
4;3;4;1;0;1;1;0.955;14.1
4;4;4;1;0;1;1;0.955;14.31
4;0;4;1;0;1;1;0.955;14.69
4;0;4;1;0;1;0;0.955;15.95
4;3;4;1;0;1;0;0.955;18.42
4;4;4;1;0;1;0;0.955;18.79
4;1;4;1;0;1;1;0.955;20.32
0;2;5;2;1;0;0;0.9537;20.58
0;2;5;2;1;0;1;0.9537;22.74
0;5;5;1;1;0;0;0.9537;22.9
5;2;5;1;1;1;0;0.9537;23.45
5;5;5;1;1;0;1;0.9537;25.59
5;2;5;1;1;0;1;0.9537;25.85
5;2;5;2;1;0;0;0.9537;26.88
5;2;5;1;1;1;1;0.9537;26.91
0;2;5;1;1;0;0;0.9537;27.54
0;2;5;1;1;1;0;0.9537;28.15
5;2;5;2;1;1;0;0.9537;28.16
